home_team,away_team,kickoff_date,odds_home,odds_draw,odds_away,extra
Mexico,South Africa,THU JUN 11 22:00,1.50,4.10,5.75,JOKER (saved)
Korea Republic,Czechia,FRI JUN 12 05:00,2.50,3.20,2.60,
Canada,Bosnia and Herzegovina,FRI JUN 12 22:00,1.75,3.80,3.80,
United States,Paraguay,SAT JUN 13 04:00,1.95,3.40,3.60,
Qatar,Switzerland,SAT JUN 13 22:00,9.00,5.25,1.27,
Brazil,Morocco,SUN JUN 14 01:00,1.55,3.80,5.25,
Haiti,Scotland,SUN JUN 14 04:00,5.75,4.75,1.42,
Australia,Türkiye,SUN JUN 14 07:00,4.00,3.75,1.75,
Germany,Curaçao,SUN JUN 14 20:00,1.05,15.00,41.00,
Netherlands,Japan,SUN JUN 14 23:00,1.95,3.60,3.30,
Côte d'Ivoire,Ecuador,MON JUN 15 02:00,3.00,3.20,2.25,
Sweden,Tunisia,MON JUN 15 05:00,1.85,3.50,3.70,
Spain,Cape Verde,MON JUN 15 19:00,1.10,13.00,21.00,
Belgium,Egypt,MON JUN 15 22:00,1.65,3.75,4.75,
Saudi Arabia,Uruguay,TUE JUN 16 01:00,5.75,4.10,1.50,
IR Iran,New Zealand,TUE JUN 16 04:00,1.80,3.40,4.00,
France,Senegal,TUE JUN 16 22:00,1.44,4.35,6.25,
Iraq,Norway,WED JUN 17 01:00,8.50,6.00,1.22,
Argentina,Algeria,WED JUN 17 04:00,1.38,4.35,7.00,
Austria,Jordan,WED JUN 17 07:00,1.33,4.75,8.50,
Portugal,DR Congo,WED JUN 17 20:00,1.25,5.00,10.00,
England,Croatia,WED JUN 17 23:00,1.65,3.70,4.50,
Ghana,Panama,THU JUN 18 02:00,1.85,3.40,3.75,
Uzbekistan,Colombia,THU JUN 18 05:00,6.50,4.35,1.40,
Czechia,South Africa,THU JUN 18 19:00,1.90,3.25,4.20,
Switzerland,Bosnia and Herzegovina,THU JUN 18 22:00,1.60,4.00,5.50,
Canada,Qatar,FRI JUN 19 01:00,1.30,5.00,9.50,
Mexico,Korea Republic,FRI JUN 19 04:00,1.80,3.50,4.50,
United States,Australia,FRI JUN 19 22:00,1.72,3.90,4.35,
Scotland,Morocco,SAT JUN 20 01:00,4.00,3.30,1.95,
Brazil,Haiti,SAT JUN 20 03:30,1.10,11.00,21.00,
Türkiye,Paraguay,SAT JUN 20 06:00,2.20,3.10,3.50,
Netherlands,Sweden,SAT JUN 20 20:00,1.65,4.00,5.00,
Germany,Côte d'Ivoire,SAT JUN 20 23:00,1.55,4.20,5.50,
Ecuador,Curaçao,SUN JUN 21 03:00,1.20,7.00,13.00,
Tunisia,Japan,SUN JUN 21 07:00,5.50,3.50,1.66,
Spain,Saudi Arabia,SUN JUN 21 19:00,1.10,9.00,19.00,
Belgium,IR Iran,SUN JUN 21 22:00,1.40,4.75,7.00,
Uruguay,Cape Verde,MON JUN 22 01:00,1.45,4.35,6.50,
New Zealand,Egypt,MON JUN 22 04:00,5.00,3.50,1.72,
Argentina,Austria,MON JUN 22 20:00,1.60,3.80,5.50,
France,Iraq,TUE JUN 23 00:00,1.10,9.00,19.00,
Norway,Senegal,TUE JUN 23 03:00,2.10,3.30,3.50,
Jordan,Algeria,TUE JUN 23 06:00,6.50,3.80,1.55,
Portugal,Uzbekistan,TUE JUN 23 20:00,1.25,6.50,9.00,
England,Ghana,TUE JUN 23 23:00,1.30,5.00,9.00,
Panama,Croatia,WED JUN 24 02:00,6.00,4.00,1.55,
Colombia,DR Congo,WED JUN 24 05:00,1.45,4.35,7.00,
Switzerland,Canada,WED JUN 24 22:00,2.10,3.30,3.50,
Bosnia and Herzegovina,Qatar,WED JUN 24 22:00,1.55,3.80,6.50,
Morocco,Haiti,THU JUN 25 01:00,1.35,5.25,8.00,
Scotland,Brazil,THU JUN 25 01:00,6.50,4.50,1.45,
