team_id,gf,ga,comp,date
ALG,0,2,friendly,2022-11-19
ALG,1,1,friendly,2023-06-20
ALG,1,0,friendly,2023-09-12
ALG,5,1,friendly,2023-10-12
ALG,1,1,friendly,2023-10-16
ALG,3,3,competitive,2024-03-26
ALG,3,4,friendly,2025-06-10
ALG,2,0,friendly,2025-11-18
ALG,2,0,competitive,2025-12-09
ALG,1,0,competitive,2026-01-06
ALG,0,0,friendly,2026-03-31
ALG,1,0,friendly,2026-06-03
ARG,1,0,qualifier,2023-11-21
ARG,1,0,friendly,2024-06-09
ARG,2,0,competitive,2024-06-20
ARG,1,1,competitive,2024-07-04
ARG,2,0,competitive,2024-07-09
ARG,1,0,competitive,2024-07-14
ARG,1,2,qualifier,2024-09-10
ARG,1,2,qualifier,2024-11-14
ARG,1,0,qualifier,2025-03-21
ARG,4,1,qualifier,2025-03-25
ARG,1,1,qualifier,2025-06-10
ARG,0,1,qualifier,2025-09-09
AUS,1,1,qualifier,2024-10-15
AUS,0,0,qualifier,2024-11-14
AUS,1,0,qualifier,2025-06-05
AUS,2,1,qualifier,2025-06-10
AUS,1,0,competitive,2025-09-05
AUS,3,1,competitive,2025-09-09
AUS,1,0,friendly,2025-10-10
AUS,1,2,friendly,2025-10-14
AUS,0,3,friendly,2025-11-18
AUS,5,1,competitive,2026-03-31
AUS,0,1,friendly,2026-05-30
AUS,1,1,friendly,2026-06-06
AUT,6,1,friendly,2024-03-26
AUT,1,1,friendly,2024-06-08
AUT,0,1,competitive,2024-06-17
AUT,3,2,competitive,2024-06-25
AUT,1,2,competitive,2024-07-02
AUT,1,2,competitive,2024-09-09
AUT,5,1,competitive,2024-10-13
AUT,2,1,qualifier,2025-09-09
AUT,1,1,qualifier,2025-11-18
AUT,5,1,friendly,2026-03-27
AUT,1,0,friendly,2026-03-31
AUT,1,0,friendly,2026-06-01
BEL,3,2,friendly,2023-03-28
BEL,1,1,qualifier,2023-06-17
BEL,3,2,qualifier,2023-10-13
BEL,1,1,qualifier,2023-10-16
BEL,2,2,friendly,2024-03-26
BEL,0,1,competitive,2024-07-01
BEL,0,2,competitive,2024-09-09
BEL,1,2,competitive,2024-10-14
BEL,5,2,friendly,2026-03-28
BEL,1,1,friendly,2026-03-31
BEL,2,0,friendly,2026-06-02
BEL,5,0,friendly,2026-06-06
BIH,1,1,qualifier,2021-09-01
