match_id,p_home,p_draw,p_away
A1,0.7123,0.1917,0.096
A2,0.5075,0.269,0.2234
A3,0.5691,0.2543,0.1766
A4,0.5493,0.2518,0.199
A5,0.6297,0.2429,0.1274
A6,0.2318,0.2711,0.4972
B1,0.6165,0.2329,0.1506
B2,0.1868,0.2477,0.5655
B3,0.7033,0.2132,0.0835
B4,0.6612,0.2115,0.1272
B5,0.3501,0.2847,0.3651
B6,0.4437,0.2794,0.2769
C1,0.4283,0.3015,0.2702
C2,0.1791,0.2449,0.576
C3,0.8809,0.1046,0.0145
C4,0.7321,0.1938,0.0741
C5,0.1838,0.2684,0.5478
C6,0.9195,0.0711,0.0094
D1,0.6156,0.2332,0.1512
D2,0.3417,0.2846,0.3737
D3,0.5148,0.2675,0.2176
D4,0.5875,0.249,0.1635
D5,0.3956,0.2937,0.3107
D6,0.3747,0.2665,0.3588
E1,0.9028,0.0854,0.0118
E2,0.3764,0.2845,0.339
E3,0.7859,0.162,0.0521
E4,0.6702,0.2083,0.1215
E5,0.1438,0.2202,0.636
E6,0.3149,0.2833,0.4017
F1,0.5538,0.2507,0.1956
F2,0.4946,0.2806,0.2248
F3,0.6614,0.2239,0.1147
F4,0.7161,0.2011,0.0828
F5,0.3069,0.2827,0.4104
F6,0.1387,0.2271,0.6342
G1,0.6563,0.2258,0.1179
G2,0.7613,0.1851,0.0536
G3,0.7469,0.1867,0.0664
G4,0.6446,0.2235,0.1319
G5,0.4761,0.2748,0.2491
G6,0.0506,0.1513,0.7981
H1,0.9023,0.0861,0.0116
H2,0.1689,0.2513,0.5798
H3,0.7909,0.1594,0.0498
H4,0.8627,0.1203,0.017
H5,0.382,0.2843,0.3337
H6,0.2222,0.28,0.4978
I1,0.6314,0.228,0.1406
I2,0.2485,0.2645,0.487
I3,0.8867,0.0988,0.0146
I4,0.3129,0.2832,0.4039
I5,0.1577,0.2362,0.6061
I6,0.7152,0.2016,0.0833
J1,0.7693,0.1755,0.0552
J2,0.7119,0.1972,0.0909
J3,0.7076,0.1991,0.0933
J4,0.2219,0.2686,0.5095
J5,0.3726,0.2752,0.3522
J6,0.0414,0.1405,0.8181
K1,0.7754,0.1674,0.0572
K2,0.1843,0.2571,0.5586
K3,0.684,0.2031,0.1129
K4,0.8071,0.1465,0.0464
K5,0.4415,0.2797,0.2789
K6,0.3689,0.2847,0.3465
L1,0.5655,0.2635,0.1709
L2,0.2193,0.2679,0.5128
L3,0.8678,0.1159,0.0163
L4,0.7504,0.185,0.0646
L5,0.1192,0.2069,0.6739
L6,0.3078,0.273,0.4192
