match_id,p_home,p_draw,p_away
A1,0.7573,0.1598,0.0829
A2,0.4613,0.2876,0.2511
A3,0.6818,0.2235,0.0947
A4,0.5776,0.2373,0.1852
A5,0.6547,0.2598,0.0855
A6,0.1158,0.2383,0.6458
B1,0.6285,0.2236,0.148
B2,0.0712,0.1728,0.756
B3,0.7189,0.2305,0.0507
B4,0.8423,0.1181,0.0396
B5,0.3371,0.2951,0.3678
B6,0.5835,0.2587,0.1578
C1,0.3711,0.3789,0.25
C2,0.0684,0.1693,0.7623
C3,0.906,0.0829,0.0111
C4,0.8018,0.1627,0.0355
C5,0.1149,0.2787,0.6064
C6,0.9702,0.0267,0.0031
D1,0.6275,0.2232,0.1493
D2,0.1848,0.2691,0.546
D3,0.4672,0.2866,0.2462
D4,0.6948,0.2167,0.0884
D5,0.4522,0.324,0.2238
D6,0.3757,0.2438,0.3805
E1,0.9547,0.0403,0.005
E2,0.3575,0.296,0.3465
E3,0.8793,0.1039,0.0168
E4,0.7283,0.1714,0.1003
E5,0.041,0.119,0.8399
E6,0.3098,0.2926,0.3976
F1,0.5808,0.2355,0.1837
F2,0.5387,0.3042,0.1571
F3,0.7506,0.191,0.0583
F4,0.7901,0.1693,0.0406
F5,0.3025,0.2936,0.404
F6,0.0502,0.1507,0.7991
G1,0.746,0.1925,0.0615
G2,0.7649,0.2039,0.0312
G3,0.8135,0.1564,0.0301
G4,0.7903,0.1549,0.0548
G5,0.4366,0.2903,0.2732
G6,0.0094,0.0687,0.9219
H1,0.94,0.0532,0.0068
H2,0.0799,0.2117,0.7084
H3,0.8828,0.1018,0.0154
H4,0.8625,0.1205,0.017
H5,0.3623,0.2951,0.3426
H6,0.1459,0.2906,0.5635
I1,0.6383,0.2176,0.1441
I2,0.1001,0.1964,0.7035
I3,0.9344,0.0581,0.0075
I4,0.3077,0.2933,0.399
I5,0.1439,0.2186,0.6375
I6,0.7904,0.1698,0.0398
J1,0.8275,0.1466,0.0258
J2,0.8347,0.1317,0.0336
J3,0.6957,0.1973,0.107
J4,0.1102,0.2345,0.6553
J5,0.2924,0.2628,0.4448
J6,0.0084,0.0645,0.9271
K1,0.8719,0.1084,0.0197
K2,0.0893,0.2185,0.6922
K3,0.7379,0.1678,0.0943
K4,0.9157,0.0726,0.0116
K5,0.4087,0.2943,0.297
K6,0.3531,0.2928,0.3541
L1,0.599,0.2786,0.1224
L2,0.1106,0.2323,0.6571
L3,0.8654,0.1179,0.0166
L4,0.6626,0.2315,0.1059
L5,0.0333,0.1081,0.8586
L6,0.3911,0.2669,0.342
